fiscalYear,gdp,category,barTotal
1967,18.8,Spending,0.18786
1968,19.8,Spending,0.19808
1969,18.7,Spending,0.18695
1970,18.7,Spending,0.1865
1971,18.8,Spending,0.18777
1972,18.9,Spending,0.18917
1973,18.12,Spending,0.1812
1974,18.1,Spending,0.18124
1975,20.6,Spending,0.20634
1976,20.8,Spending,0.20767
1977,20.2,Spending,0.20175
1978,20.1,Spending,0.20136
1979,19.6,Spending,0.19612
1980,21.1,Spending,0.21129
1981,21.6,Spending,0.21611
1982,22.5,Spending,0.22503
1983,22.8,Spending,0.22828
1984,21.5,Spending,0.21549
1985,22.2,Spending,0.22161
1986,21.8,Spending,0.21834
1987,21,Spending,0.20996
1988,20.6,Spending,0.20648
1989,20.5,Spending,0.20534
1990,21.2,Spending,0.21185
1991,21.7,Spending,0.21673
1992,21.5,Spending,0.2147
1993,20.7,Spending,0.20742
1994,20.3,Spending,0.20308
1995,20,Spending,0.19988
1996,19.6,Spending,0.19559
1997,18.9,Spending,0.18874
1998,18.5,Spending,0.18453
1999,17.9,Spending,0.17894
2000,17.6,Spending,0.17628
2001,17.6,Spending,0.17633
2002,18.5,Spending,0.18488
2003,19.1,Spending,0.19059
2004,19,Spending,0.18967
2005,19.2,Spending,0.19179
2006,19.4,Spending,0.19402
2007,19.1,Spending,0.19051
2008,20.2,Spending,0.20217
2009,24.4,Spending,0.24404
2010,23.4,Spending,0.23361
2011,23.4,Spending,0.23428
2012,22.1,Spending,0.22068
2013,20.9,Spending,0.2094
2014,20.4,Spending,0.20404
2015,20.7,Spending,0.20709
2016,21.1,Spending,0.211
2017,21,Spending,0.21
2018,20.8,Spending,0.208
2019,21.4,Spending,0.214
2020,21.8,Spending,0.218
2021,22,Spending,0.22
2022,22.5,Spending,0.225
2023,22.5,Spending,0.225
2024,22.4,Spending,0.224
2025,22.8,Spending,0.228
2026,23.1,Spending,0.231
2027,23.4,Spending,0.234
2028,23.7,Spending,0.237
2029,24,Spending,0.24
2030,24.3,Spending,0.243
2031,24.6,Spending,0.246
2032,24.8,Spending,0.248
2033,25.1,Spending,0.251
2034,25.4,Spending,0.254
2035,25.6,Spending,0.256
2036,25.9,Spending,0.259
2037,26.2,Spending,0.262
2038,26.4,Spending,0.264
2039,26.6,Spending,0.266
2040,26.9,Spending,0.269
2041,27.1,Spending,0.271
2042,27.3,Spending,0.273
2043,27.6,Spending,0.276
2044,27.8,Spending,0.278
2045,28,Spending,0.28
2046,28.2,Spending,0.282
1969,0.3,Deficit(-),0.0033
1998,0.8,Deficit(-),0.00774
1999,1.3,Deficit(-),0.01321
2000,2.3,Deficit(-),0.02328
2001,1.2,Deficit(-),0.01214
1966,-0.5,Deficit(-),-0.00473
1967,-1,Deficit(-),-0.01031
1968,-2.8,Deficit(-),-0.02798
1970,-0.3,Deficit(-),-0.00271
1971,-2.1,Deficit(-),-0.02058
1972,-1.9,Deficit(-),-0.01917
1973,-1.099,Deficit(-),-0.01099
1974,-0.4,Deficit(-),-0.00413
1975,-3.3,Deficit(-),-0.03306
1976,-4.1,Deficit(-),-0.04118
1977,-2.6,Deficit(-),-0.02645
1978,-2.6,Deficit(-),-0.02598
1979,-1.6,Deficit(-),-0.01585
1980,-2.6,Deficit(-),-0.0264
1981,-2.5,Deficit(-),-0.02516
1982,-3.9,Deficit(-),-0.03862
1983,-5.9,Deficit(-),-0.05868
1984,-4.7,Deficit(-),-0.04689
1985,-5,Deficit(-),-0.04972
1986,-4.9,Deficit(-),-0.04877
1987,-3.1,Deficit(-),-0.03131
1988,-3,Deficit(-),-0.0301
1989,-2.7,Deficit(-),-0.0274
1990,-3.7,Deficit(-),-0.03737
1991,-4.4,Deficit(-),-0.04406
1992,-4.5,Deficit(-),-0.04512
1993,-3.8,Deficit(-),-0.03754
1994,-2.8,Deficit(-),-0.02823
1995,-2.2,Deficit(-),-0.02162
1996,-1.3,Deficit(-),-0.01347
1997,-0.3,Deficit(-),-0.00258
2002,-1.5,Deficit(-),-0.0145
2003,-3.3,Deficit(-),-0.03332
2004,-3.4,Deficit(-),-0.03414
2005,-2.5,Deficit(-),-0.0247
2006,-1.8,Deficit(-),-0.01814
2007,-1.1,Deficit(-),-0.01122
2008,-3.1,Deficit(-),-0.03108
2009,-9.8,Deficit(-),-0.098
2010,-8.7,Deficit(-),-0.08747
2011,-8.5,Deficit(-),-0.0845
2012,-6.8,Deficit(-),-0.06782
2013,-4.1,Deficit(-),-0.04119
2014,-2.8,Deficit(-),-0.0282
2015,-2.5,Deficit(-),-0.02462
2016,-2.9,Deficit(-),-0.029
2017,-2.8,Deficit(-),-0.028
2018,-2.7,Deficit(-),-0.027
2019,-3.4,Deficit(-),-0.034
2020,-3.7,Deficit(-),-0.037
2021,-3.9,Deficit(-),-0.039
2022,-4.4,Deficit(-),-0.044
2023,-4.4,Deficit(-),-0.044
2024,-4.3,Deficit(-),-0.043
2025,-4.6,Deficit(-),-0.046
2026,-4.9,Deficit(-),-0.049
2027,-5.1,Deficit(-),-0.051
2028,-5.4,Deficit(-),-0.054
2029,-5.6,Deficit(-),-0.056
2030,-5.8,Deficit(-),-0.058
2031,-6.1,Deficit(-),-0.061
2032,-6.3,Deficit(-),-0.063
2033,-6.5,Deficit(-),-0.065
2034,-6.7,Deficit(-),-0.067
2035,-6.9,Deficit(-),-0.069
2036,-7.1,Deficit(-),-0.071
2037,-7.3,Deficit(-),-0.073
2038,-7.5,Deficit(-),-0.075
2039,-7.7,Deficit(-),-0.077
2040,-7.9,Deficit(-),-0.079
2041,-8,Deficit(-),-0.08
2042,-8.2,Deficit(-),-0.082
2043,-8.3,Deficit(-),-0.083
2044,-8.5,Deficit(-),-0.085
2045,-8.7,Deficit(-),-0.087
2046,-8.8,Deficit(-),-0.088
1966,33.7,Debt,-0.33725
1967,31.8,Debt,-0.31809
1968,32.2,Debt,-0.32197
1969,28.3,Debt,-0.28312
1970,27,Debt,-0.26995
1971,27.1,Debt,-0.27074
1972,26.4,Debt,-0.26436
1973,25.14,Debt,-0.2514
1974,23.1,Debt,-0.23126
1975,24.5,Debt,-0.24506
1976,26.7,Debt,-0.26667
1977,27.1,Debt,-0.27071
1978,26.6,Debt,-0.26649
1979,24.9,Debt,-0.24914
1980,25.5,Debt,-0.25455
1981,25.2,Debt,-0.25153
1982,27.9,Debt,-0.279
1983,32.1,Debt,-0.32117
1984,33.1,Debt,-0.33064
1985,35.3,Debt,-0.35296
1986,38.4,Debt,-0.38373
1987,39.5,Debt,-0.39519
1988,39.8,Debt,-0.39798
1989,39.3,Debt,-0.3933
1990,40.8,Debt,-0.40773
1991,44,Debt,-0.44009
1992,46.6,Debt,-0.46618
1993,47.8,Debt,-0.47806
1994,47.7,Debt,-0.47696
1995,47.5,Debt,-0.4753
1996,46.8,Debt,-0.46803
1997,44.5,Debt,-0.44468
1998,41.6,Debt,-0.41554
1999,38.2,Debt,-0.38193
2000,33.6,Debt,-0.336
2001,31.4,Debt,-0.31422
2002,32.6,Debt,-0.3255
2003,34.5,Debt,-0.34533
2004,35.5,Debt,-0.35534
2005,35.6,Debt,-0.35629
2006,35.3,Debt,-0.35287
2007,35.2,Debt,-0.35154
2008,39.3,Debt,-0.39336
2009,52.3,Debt,-0.52341
2010,60.9,Debt,-0.60945
2011,65.9,Debt,-0.65857
2012,70.4,Debt,-0.70387
2013,72.6,Debt,-0.72631
2014,74.4,Debt,-0.74373
2015,73.6,Debt,-0.73649
2016,75.4,Debt,-0.754
2017,75.5,Debt,-0.755
2018,75.5,Debt,-0.755
2019,76.3,Debt,-0.763
2020,77.3,Debt,-0.773
2021,78.4,Debt,-0.784
2022,79.9,Debt,-0.799
2023,81.3,Debt,-0.813
2024,82.5,Debt,-0.825
2025,84,Debt,-0.84
2026,85.7,Debt,-0.857
2027,87.6,Debt,-0.876
2028,89.6,Debt,-0.896
2029,91.8,Debt,-0.918
2030,94.1,Debt,-0.941
2031,96.6,Debt,-0.966
2032,99.2,Debt,-0.992
2033,101.8,Debt,-1.018
2034,104.6,Debt,-1.046
2035,107.4,Debt,-1.074
2036,110.2,Debt,-1.102
2037,113.2,Debt,-1.132
2038,116.2,Debt,-1.162
2039,119.2,Debt,-1.192
2040,122.3,Debt,-1.223
2041,125.4,Debt,-1.254
2042,128.6,Debt,-1.286
2043,131.7,Debt,-1.317
2044,134.8,Debt,-1.348
2045,138,Debt,-1.38
2046,141.1,Debt,-1.411
